country;year;sex;age;suicides_no;population;suicides/100k pop;country-year;HDI for year; gdp_for_year ($) ;gdp_per_capita ($);generation;;;;;;;;;
Albania;1987;male;15-24 years;21;312900;6.71;Albania1987;;2,156,624,900;796;Generation X;1;1;;22063;;<10;17348;;
Albania;1987;male;35-54 years;16;308000;5.19;Albania1987;;2,156,624,900;796;Silent;2;1;;;;<5;12981;;
Albania;1987;female;15-24 years;14;289700;4.83;Albania1987;;2,156,624,900;796;Generation X;3;1;;12.81609741;;<2;8959;;
Albania;1987;male;75+ years;1;21800;4.59;Albania1987;;2,156,624,900;796;G.I. Generation;4;1;;;;<1;7160;;6750
Albania;1987;male;25-34 years;9;274300;3.28;Albania1987;;2,156,624,900;796;Boomers;5;1;;;;0;4281;;
Albania;1987;female;75+ years;1;35600;2.81;Albania1987;;2,156,624,900;796;G.I. Generation;6;1;;;;<50;26410;;
Albania;1987;female;35-54 years;6;278800;2.15;Albania1987;;2,156,624,900;796;Silent;7;1;;;;<20;22063;;
Albania;1987;female;25-34 years;4;257200;1.56;Albania1987;;2,156,624,900;796;Boomers;8;1;;;;;;;
Albania;1987;male;55-74 years;1;137500;0.73;Albania1987;;2,156,624,900;796;G.I. Generation;9;1;;;;;;;
Albania;1987;female;5-14 years;0;311000;0;Albania1987;;2,156,624,900;796;Generation X;10;1;;;;;;;
Albania;1987;female;55-74 years;0;144600;0;Albania1987;;2,156,624,900;796;G.I. Generation;11;1;;;Zero;0;4281;;27000
Albania;1987;male;5-14 years;0;338200;0;Albania1987;;2,156,624,900;796;Generation X;12;1;;;Low;5;8700;;
Albania;1988;female;75+ years;2;36400;5.49;Albania1988;;2,126,000,000;769;G.I. Generation;13;1;;;Medium;10;4367;;
Albania;1988;male;15-24 years;17;319200;5.33;Albania1988;;2,126,000,000;769;Generation X;14;1;;;;20;4715;;
Albania;1988;male;75+ years;1;22300;4.48;Albania1988;;2,126,000,000;769;G.I. Generation;15;1;;;High;50;4347;;
Albania;1988;male;35-54 years;14;314100;4.46;Albania1988;;2,126,000,000;769;Silent;16;1;;;Very High;>50;1410;;
Albania;1988;male;55-74 years;4;140200;2.85;Albania1988;;2,126,000,000;769;G.I. Generation;17;1;;;;;;;
Albania;1988;female;15-24 years;8;295600;2.71;Albania1988;;2,126,000,000;769;Generation X;18;1;;;;;;;
Albania;1988;female;55-74 years;3;147500;2.03;Albania1988;;2,126,000,000;769;G.I. Generation;19;1;;;;;;;
Albania;1988;female;25-34 years;5;262400;1.91;Albania1988;;2,126,000,000;769;Boomers;20;1;;;;;;;
Albania;1988;male;25-34 years;5;279900;1.79;Albania1988;;2,126,000,000;769;Boomers;21;1;;;;;;;
Albania;1988;female;35-54 years;4;284500;1.41;Albania1988;;2,126,000,000;769;Silent;22;1;;;;;;;
Albania;1988;female;5-14 years;0;317200;0;Albania1988;;2,126,000,000;769;Generation X;23;1;;;;;;;
Albania;1988;male;5-14 years;0;345000;0;Albania1988;;2,126,000,000;769;Generation X;24;1;;;;;;;
Albania;1989;male;75+ years;2;22500;8.89;Albania1989;;2,335,124,988;833;G.I. Generation;25;1;;;;;;;
Albania;1989;male;25-34 years;18;283600;6.35;Albania1989;;2,335,124,988;833;Boomers;26;1;;;;;;;
Albania;1989;male;35-54 years;15;318400;4.71;Albania1989;;2,335,124,988;833;Silent;27;1;;;;;;;
Albania;1989;male;55-74 years;6;142100;4.22;Albania1989;;2,335,124,988;833;G.I. Generation;28;1;;;;;;;
